CLIENTNUM,Attrition_Flag,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,age_range,months_on_book_range,Credit_Limit_range,Avg_Open_To_Buy_range,Total_Amt_Chng_Q4_Q1_range,Total_Trans_Amtrange,Total_Ct_Chng_Q4_Q1_range,Avg_Utilization_Ratio_range,Total_Revolving_Bal_range,Total_Trans_Ct_range,Prediction
768805383,Existing Customer,Male,3,High School,Married,$60K - $80K,Blue,39,5,1,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
818770008,Existing Customer,Female,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,40-49,32-48,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,359.0-1276.0,9.999-45.0,Existing Customer
713982108,Existing Customer,Male,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,50-59,32-48,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
769911858,Existing Customer,Female,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,40-49,32-48,2555.0-4549.0,2.999-1324.5,0.859-3.397,509.999-2155.5,0.818-3.714,0.503-0.999,1784.0-2517.0,9.999-45.0,Existing Customer
709106358,Existing Customer,Male,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,40-49,19-32,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
713061558,Existing Customer,Male,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,40-49,32-48,2555.0-4549.0,1324.5-3474.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.176-0.503,359.0-1276.0,9.999-45.0,Existing Customer
810347208,Existing Customer,Male,4,Unknown,Married,$120K +,Gold,46,6,1,3,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.702-0.818,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
818906208,Existing Customer,Male,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,30-39,19-32,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.702-0.818,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
710930508,Existing Customer,Male,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,30-39,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1784.0-2517.0,9.999-45.0,Existing Customer
719661558,Existing Customer,Male,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,40-49,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
708790833,Existing Customer,Male,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,40-49,19-32,4549.0-11067.5,3474.0-9859.0,0.736-0.859,509.999-2155.5,0.582-0.702,0.176-0.503,1276.0-1784.0,9.999-45.0,Existing Customer
710821833,Existing Customer,Male,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,65+,49-72,4549.0-11067.5,3474.0-9859.0,0.859-3.397,509.999-2155.5,0.818-3.714,0.023-0.176,1276.0-1784.0,9.999-45.0,Existing Customer
710599683,Existing Customer,Male,1,College,Single,$80K - $120K,Blue,36,3,6,0,50-59,32-48,11067.5-34516.0,9859.0-34516.0,0.859-3.397,509.999-2155.5,0.818-3.714,-0.001-0.023,-0.001-359.0,9.999-45.0,Existing Customer
